step,rebuild_triggered,last_true_target,prediction,error,threshold,feature_MLUT4_AIA792101B,feature_MLUT4_TE-252D,feature_MLUT4_FIC-231B,feature_MLUT4_AT-232A,feature_MLUT4_TE-252F,feature_MLUT4_FIC-231C,feature_MLUT4_PIC-233,feature_MLUT4_TE-252G,feature_MLUT4_TE-252I,feature_前爐SOx濃度,feature_鈣硫比,feature_MLUT4_FIC-231A,feature_MLUT4_IT-E7925B,feature_MLUT4_FIC-233,feature_MLUT4_ZT-232,feature_MLUT4_FT-792020,feature_MLUT4_IT-E7925A,feature_MLUT4_TE-251A,feature_MLUT4_PDT-232,feature_MLUT4_TE-251G,feature_MLUT4_FQ-205,feature_MLUT4_TE-251D,feature_MLUT4_TE-251F,feature_MLUT4_TE-251H,feature_MLUT4_RQ-2BTLS,feature_prev_target,feature_0
36,False,0.8012847064849585,0.7875260710716248,0.014149463069126011,0.01514275484205231,4.132543248595983,964.4181682256116,11.70304482861021,229.4018161908994,934.4419791415736,12.53652767440496,968.5804108991294,921.3572318004915,907.0,588.2661114672821,3.004608933776153,17.62113347251008,15.6786609372791,209.9562523207174,16.39999961853027,13844.54272993754,12.4151351756973,905.0403591100594,101.4527685161074,932.0267647823575,385.2780749057509,937.2372139602572,932.8990033509215,969.0911913862194,3.137868443929567,0.7997909730299109,
37,True,0.8048804332831936,0.7996588945388794,0.01735436221156883,0.01663999785340673,4.132747826574212,964.5008971890126,11.70305437423814,229.0227355852346,934.8997602170432,12.53646732403617,968.0056250992236,921.2305080932231,907.3516765391003,586.9557263402488,3.059202312272586,17.62105747594106,15.64116052899813,208.0749316354035,16.39999961853027,13862.74282500102,12.49995105061666,905.1383876835637,100.3420296125343,932.182747279236,385.9272298520821,937.4352278689091,933.0155289190445,969.150591373832,3.194870206268733,0.801917811822717,
38,False,0.7990501669327424,0.7985364198684692,0.0006087276061369495,0.0006087276061369495,4.132952404552441,964.5857641677933,11.70306391986608,229.0484778880854,934.9000244140625,12.53640697366739,967.6271033002868,921.2583372982405,907.8928761110161,585.9550938928141,3.064126714908651,17.62098147937205,15.59165745988574,205.3914311987117,16.39999961853027,13847.2288808239,12.5,905.2364162570681,97.82460102017328,932.3750319188472,386.3824718389991,937.6037927581107,933.1320544871672,969.2335617001048,3.200000047683716,0.8007194493063664,
39,True,0.7954742347348344,0.7986854314804077,0.003062185133634876,0.0028168393808850833,4.133156982530669,964.6706311465741,11.70307346549402,229.8230992345029,935.3484448627818,12.53634662329861,967.7224696949504,921.3224378559596,907.9000244140625,585.8782778897335,3.064139111302,17.62090548280303,15.54215439077335,203.6363306391356,16.39999961853027,13892.26185473227,12.5,905.2989069167752,98.87340614335493,932.567316558458,386.9621078391471,937.677088682303,933.1588122924284,969.3927831821381,3.200000047683716,0.7985275222115176,
40,False,0.7888288363512902,0.797397792339325,0.009856595129117518,0.009856595129117518,4.133361560508897,964.755498125355,11.70308301112196,230.0853571436172,935.9930543565875,12.53628627292982,968.9725270719015,921.3865384136791,907.9000244140625,584.6484065728341,3.064151507795652,17.62082948623401,15.49265132166096,204.5240835829212,16.39999961853027,13926.98929953527,12.5,905.2999877929688,100.7130071252099,932.7596011980688,386.5370464010072,937.7431102103176,933.0624771524069,969.5578269287038,3.200000047683716,0.7944745302830576,
41,True,0.7766807444511634,0.7943693995475769,0.020717047888161533,0.019631002612257132,4.133566138487126,964.8403651041359,11.70309255674989,229.559775978765,936.356029101061,12.53622592256104,969.0,921.4506389713985,907.9000244140625,583.5925171148162,3.06416390438961,17.62075348966499,15.44314825254858,207.3973445560606,16.39999961853027,13930.78816071705,12.5,905.2999877929688,100.6704862648148,932.9518858376798,385.6768134015782,937.8629435972853,933.0959282538552,969.6993179152247,3.200000047683716,0.787038670271429,
42,False,0.7771805800170761,0.7926322817802429,0.017188819530500776,0.017188819530500776,4.133770716465355,964.9252320829168,11.70310210237783,229.6720891852102,936.9853702824839,12.53616557219225,969.0,921.5147395291176,907.9000244140625,583.6991549252148,3.064176301083873,17.62067749309598,15.39364518343618,207.661002409564,16.39999961853027,13997.45084480196,12.5,905.2252732248741,98.91434408717319,933.1441704772908,385.1765895270895,938.1757053618755,933.3511205109322,969.756366626895,3.200000047683716,0.7829190647076723,
43,False,0.7824701124956833,0.7937899231910706,0.010162169284559597,0.01648615450590666,4.133975294443583,965.0294058157681,11.70311164800577,231.2794317148667,937.2769146683328,12.53610522182347,969.0,921.5788400868371,907.637177551147,584.6206630824377,3.009736655207049,17.62060149652696,15.3441421143238,206.7405319101335,16.39999961853027,13958.53679178517,12.5,904.9923104125959,100.1931732576638,933.3345239752671,385.9966842943277,938.505716560986,933.6099826688575,969.8058654824542,3.143134574853802,0.7827314516931176,
44,False,0.7998281907126242,0.7966412901878357,0.006038267521553675,0.01578348948131254,4.134179872421811,965.2077349419524,11.70312119363371,233.038236878767,937.8761056526862,12.53604487145468,969.0,921.6429406445565,907.0271761787305,585.2821680103189,2.816275840714451,17.62052549995794,15.30379780564625,204.8459364014684,16.39999961853027,13884.55399517186,12.5,904.7542068294588,101.1196401557265,933.4386442959997,386.259733750298,938.7441437252444,933.7786645351738,969.8553643380135,2.941087267395361,0.7898760222305762,
45,False,0.8135889308596018,0.799938440322876,0.01694764067176613,0.017116465872880383,4.13438445040004,965.3933785343554,11.70313073926165,233.5061941763249,938.1891378431279,12.5359845210859,968.7367675521016,921.7070412022758,907.0,585.0245933533446,2.898974283798505,17.62044950338892,15.30000019073486,204.6771102965529,16.39999961853027,13871.83956314416,12.5,904.5161032463218,100.0719321223479,933.4963375743512,385.5822125685387,938.6171181953935,933.7385554795407,969.9048631935727,3.027438483418147,0.7997854294078797,
